level_1_name,level_1_id,level_2_name,level_2_id,level_3_name,level_3_id,level_4_name,level_4_id,level_5_name,level_5_id
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,FUNGURUME,eWGgthNBOZ8,KAKANDA,L4v8STFRK7X,DELLIA CENTRE DE SANTE,r8Wg0QplUms
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,DILALA,mSQE0BqfXOy,LUILU,xFrGx7XoUyr,DIEU MERCI CENTRE DE SANTE,SC5aEPu63MO
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,DILALA,mSQE0BqfXOy,KANINA,xHdMBSiJMn7,DIEU D'ABRAHAM CENTRE DE SANTE,cXVSdTd4HhF
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,KIZITO,SW5JvJ13QJM,DIMERCIA CENTRE DE SANTE,gPPoKgMh4Rq
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,KANZENZE,yAdgorGUtcE,TSHAMUNDENDA 1,OK9lRfNwcD7,DIOCI CENTRE DE SANTE,xFGOg9393ZB
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,FUNGURUME,eWGgthNBOZ8,KAKANDA,L4v8STFRK7X,DONEL CENTRE DE SANTE,LjuuFu2K1Ac
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,POLY. MODERNE,kwAbVw5kcPM,EBEN- EZER CENTRE DE SANTE,c5kMD3cF4kT
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,KANZENZE,yAdgorGUtcE,TSHAMUNDENDA 1,OK9lRfNwcD7,EL SHADAY CENTRE DE SANTE,xdziRaCZmdr
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,DILALA,mSQE0BqfXOy,HEWA BORA 2,EkHuVUWLmWu,ELIAKIM 2 CENTRE DE SANTE,t68B2bqaiF5
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,CAMP MASSARD,Xn4EKfVPZKF,ELIM CENTRE DE SANTE,spx1J0Z5At8
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,LUALABA,uFV6BUpJi7E,MANGA-MANGA,IR0fEldd6t0,ELIM CENTRE DE SANTE,LBRHaTgqTR4
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,ROCHER,mgzgb0SPtDP,EMMANUEL CENTRE DE SANTE,KQMko4BuBYt
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,MUTOSHI,j4XDKfj3HMn,ESPOIR CENTRE DE SANTE,eWOuu9BIItC
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,DILALA,mSQE0BqfXOy,NOA,TXOItONqZzs,FRATERNITE CENTRE DE SANTE,aEaRAOAtTEn
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,DILALA,mSQE0BqfXOy,KANINA,xHdMBSiJMn7,GLOIRE DU SAUVEUR CENTRE DE SANTE,PhiIcsr7Zx3
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,UCK,XRiYGn71FlT,HUMANITE CENTRE DE SANTE,jtaHRcQzkSV
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,KAMANYOLA,QCYRm5QzEDj,JEMIMA CENTRE DE SANTE,deLeD9i2jQA
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,UCK,XRiYGn71FlT,JOICE CENTRE DE SANTE,RIG0wp3uwCC
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,KANZENZE,yAdgorGUtcE,TSHAMUNDENDA 2,oIsqjtahWjz,JOURDAIN CENTRE DE SANTE,JTQytwTyOVK
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,KALAMBA,Ux1WH67fWJJ,MURUNG,WicYloOCv3G,KABAZ POSTE DE SANTE,bamW78lPtp4
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,KAPANGA,qdhfi48INZJ,NSWAN MULAPU,muj6hIlmKTd,KAPANGA HOPITAL GENERAL DE REFERENCE,xT5GUsDEabf
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,KANZENZE,yAdgorGUtcE,TSHAMUNDENDA 2,oIsqjtahWjz,KASOMBO CENTRE DE SANTE,mTrBUtgr9B2
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,FUNGURUME,eWGgthNBOZ8,MUKABE,rREJ1UdTyat,KASONGA CENTRE DE SANTE,GkxDwGBw29G
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,FUNGURUME,eWGgthNBOZ8,KASONGA,w6LU6f0xH2m,KASONGA CENTRE DE SANTE,mFhJ64MNMAb
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,KALAMBA,Ux1WH67fWJJ,MWAD A MUTEB,WNhFZyfhoi7,KAVUND POSTE DE SANTE,ZrC4MSGu6Hl
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,LUBUDI,goYHUDWT3jn,MAZANGULE,N7ghLLn7a7g,KAYOMBO CENTRE DE SANTE,TIEVtNyUTPl
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,KANZENZE,yAdgorGUtcE,MPALA,fcjl77Cka4o,KYABUHIMBI CENTRE DE SANTE,Kv7whnBvrmc
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,MIPETO,pkRCJTZf5BA,CROYANCE CENTRE DE SANTE,PT185uTxJMf
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,MOISE TSHOMBE,FB6xAtHUGES,GRACE 2 CENTRE MEDICAL,jJKZeKa6eET
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,MUTOSHI,j4XDKfj3HMn,GRACE CENTRE DE SANTE,HEMDirjDi7D
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,HGR MWANGEJI,xxqm0dbkegx,GRACE CENTRE DE SANTE,RaDl6kOv8Mp
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,KIZITO,SW5JvJ13QJM,GRACE CENTRE DE SANTE,so6grKz5SLW
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,KIZITO,SW5JvJ13QJM,JOIE 2 CENTRE DE SANTE,JOUlBTx1BR1
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,MIPETO,pkRCJTZf5BA,MISERICORDE CENTRE DE SANTE,k7rgs7MpaUq
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,MIPETO,pkRCJTZf5BA,PAIX 2 CENTRE DE SANTE,TQUIBAAVElk
République Démocratique du Congo,ymGeqzoPhN3,LUALABA,dJ3v8xc6ZIK,MANIKA,xMdqjEKgZLw,RVA,ugKffvSToJg,PAIX 3 CENTRE DE SANTE,rsDqMF66O67
